iter	Passed	Remaining
410	3630	5203
411	3639	5193
412	3646	5183
413	3655	5173
414	3663	5163
415	3672	5155
416	3680	5144
417	3689	5137
418	3697	5126
419	3706	5117
420	3713	5107
421	3722	5098
422	3729	5087
423	3737	5077
424	3745	5067
425	3754	5058
426	3761	5047
427	3770	5038
428	3777	5028
429	3787	5020
430	3794	5009
431	3803	5001
432	3811	4991
433	3820	4981
434	3827	4970
435	3835	4961
436	3842	4950
437	3851	4942
438	3859	4932
439	3867	4922
440	3875	4912
441	3884	4903
442	3892	4893
443	3901	4885
444	3909	4875
445	3918	4866
446	3925	4856
447	3933	4846
448	3941	4836
449	3949	4827
450	3957	4817
451	3965	4808
452	3973	4797
453	3981	4788
454	3989	4778
455	3998	4770
456	4005	4759
457	4014	4751
458	4022	4740
459	4031	4732
460	4038	4722
461	4048	4714
462	4056	4704
463	4065	4696
464	4074	4688
465	4082	4678
466	4091	4669
467	4100	4660
468	4108	4651
469	4116	4641
470	4124	4632
471	4133	4623
472	4141	4613
473	4148	4603
474	4157	4594
475	4164	4584
476	4173	4575
477	4181	4566
478	4190	4557
479	4198	4547
480	4212	4545
481	4224	4539
482	4233	4531
483	4242	4522
484	4250	4512
485	4258	4504
486	4266	4493
487	4274	4484
488	4281	4474
489	4290	4465
490	4298	4456
491	4307	4447
492	4315	4437
493	4323	4428
494	4330	4418
495	4338	4408
496	4346	4399
497	4355	4390
498	4363	4380
499	4371	4371
500	4378	4361
501	4386	4351
502	4395	4343
503	4404	4334
504	4413	4325
505	4422	4317
506	4430	4307
507	4439	4299
508	4448	4290
509	4456	4281
510	4463	4271
511	4471	4262
512	4479	4252
513	4487	4243
514	4495	4233
515	4504	4225
516	4512	4215
517	4521	4206
518	4528	4196
519	4537	4188
520	4544	4178
521	4553	4169
522	4560	4159
523	4569	4150
524	4577	4141
525	4585	4132
526	4593	4122
527	4602	4114
528	4610	4104
529	4619	4096
530	4626	4086
531	4635	4078
532	4644	4068
533	4652	4060
534	4660	4050
535	4668	4041
536	4676	4031
537	4684	4022
538	4693	4013
539	4703	4006
540	4710	3996
541	4718	3987
542	4726	3977
543	4734	3968
544	4742	3959
545	4751	3950
546	4758	3940
547	4767	3932
548	4774	3922
549	4783	3913
550	4790	3903
551	4799	3895
552	4807	3885
553	4816	3877
554	4823	3867
555	4832	3859
556	4839	3849
557	4848	3840
558	4855	3830
559	4864	3821
560	4871	3812
561	4880	3803
562	4887	3793
563	4896	3785
564	4904	3775
565	4914	3768
566	4922	3759
567	4930	3749
568	4937	3740
569	4946	3731
570	4953	3721
571	4962	3713
572	4970	3703
573	4978	3694
574	4986	3685
575	4994	3676
576	5006	3670
577	5015	3662
578	5025	3653
579	5032	3644
580	5041	3635
581	5049	3626
582	5058	3617
583	5066	3608
584	5074	3599
585	5082	3590
586	5090	3581
587	5097	3571
588	5107	3563
589	5115	3554
590	5123	3545
591	5131	3536
592	5141	3528
593	5149	3519
594	5157	3510
595	5165	3501
596	5173	3492
597	5180	3482
598	5189	3473
599	5197	3464
600	5206	3456
601	5214	3447
602	5222	3438
603	5230	3429
604	5239	3420
605	5247	3411
606	5255	3402
607	5262	3392
608	5270	3383
609	5278	3374
610	5286	3365
611	5294	3356
612	5303	3347
613	5310	3338
614	5319	3330
615	5327	3320
616	5336	3312
617	5344	3303
618	5352	3294
619	5360	3285
620	5368	3276
621	5377	3267
622	5386	3259
623	5393	3250
624	5402	3241
625	5411	3233
626	5420	3224
627	5428	3215
628	5437	3207
629	5444	3197
630	5452	3188
631	5459	3178
632	5468	3170
633	5475	3161
634	5484	3152
635	5492	3143
636	5502	3135
637	5510	3126
638	5528	3123
639	5544	3118
640	5556	3112
641	5566	3103
642	5574	3095
643	5582	3085
644	5591	3077
645	5599	3068
646	5608	3059
647	5616	3050
648	5624	3041
649	5631	3032
650	5640	3023
651	5647	3014
652	5655	3005
653	5662	2995
654	5670	2986
655	5677	2977
656	5685	2968
657	5694	2959
658	5702	2950
659	5710	2941
660	5718	2932
661	5726	2923
662	5733	2914
663	5742	2905
664	5749	2896
665	5758	2887
666	5766	2878
667	5774	2870
668	5782	2860
669	5791	2852
670	5798	2843
671	5807	2834
